region,country,weather_station,station_code,data_format,url
2,CHN,Jiangxi.Nanjing,582380,SWERA,2_asia_wmo_region_2/CHN_Jiangxi.Nanjing.582380_SWERA.zip
2,CHN,Jiangxi.Suichuan,578960,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Suichuan.578960_CSWD.zip
2,CHN,Jiangxi.Yichun,577930,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Yichun.577930_CSWD.zip
2,CHN,Jiangxi.Yushan,586340,CSWD,2_asia_wmo_region_2/CHN_Jiangxi.Yushan.586340_CSWD.zip
2,CHN,Jilin.Baicheng,509360,CSWD,2_asia_wmo_region_2/CHN_Jilin.Baicheng.509360_CSWD.zip
2,CHN,Jilin.Changchun,541610,CSWD,2_asia_wmo_region_2/CHN_Jilin.Changchun.541610_CSWD.zip
2,CHN,Jilin.Donggang,542840,CSWD,2_asia_wmo_region_2/CHN_Jilin.Donggang.542840_CSWD.zip
2,CHN,Jilin.Dunhua,541860,CSWD,2_asia_wmo_region_2/CHN_Jilin.Dunhua.541860_CSWD.zip
2,CHN,Jilin.Linjiang,543740,CSWD,2_asia_wmo_region_2/CHN_Jilin.Linjiang.543740_CSWD.zip
2,CHN,Jilin.Qian.Gorlos,509490,CSWD,2_asia_wmo_region_2/CHN_Jilin.Qian.Gorlos.509490_CSWD.zip
2,CHN,Jilin.Siping,541570,CSWD,2_asia_wmo_region_2/CHN_Jilin.Siping.541570_CSWD.zip
2,CHN,Jilin.Yanji,542920,CSWD,2_asia_wmo_region_2/CHN_Jilin.Yanji.542920_CSWD.zip
2,CHN,Kinjiang.Uygar.Kashi,517090,SWERA,2_asia_wmo_region_2/CHN_Kinjiang.Uygar.Kashi.517090_SWERA.zip
2,CHN,Kinjiang.Uygur.Kuqa,516440,SWERA,2_asia_wmo_region_2/CHN_Kinjiang.Uygur.Kuqa.516440_SWERA.zip
